ProjectID,BugID,IssueID,URL,Exported? (Y/N/Review),Class,Notes,Classes
Lang,1,LANG-747,https://issues.apache.org/jira/browse/LANG-747,Y,4,Developer reported inconsistencies between createLong and createInteger functionality for NumberUtils. (createLong cannot handle hex and octal) but no test case,(1) No Repro
Lang,2,LANG-879,https://issues.apache.org/jira/browse/LANG-879,"R (Had to simplify, user used several libs)","2,4,(5?)","User submitted test and stack trace of failure (JDK7 error, JDK6 success)",(2) Stack Trace
Lang,3,LANG-693,https://issues.apache.org/jira/browse/LANG-693,R ,4 (5?),"User submitted bug with a paragraph of text describing issue, in the issue thread the user gives values that cause the issue with test case (patch file)",(3) End-to-end input
Lang,4,LANG-882,https://issues.apache.org/jira/browse/LANG-882,Y,4,(Dev or knowledgable) User submitted bug with test code and results as well as reasoning for why the result is wrong,(4) User Submitted
Lang,5,LANG-865,https://issues.apache.org/jira/browse/LANG-865,Y,4 (5?),"User/dev talks about finding a bug while fixing another bug, lists case that causes error with test (patch file)",(5) Developer Submitted regression
Lang,6,LANG-857,https://issues.apache.org/jira/browse/LANG-857,Y,"2,4,5",User submitted tests that cause an exception. Included stack trace of exception as well as the input that causes the exception. Test cases included in patch file and in thread,
Lang,7,LANG-822,https://issues.apache.org/jira/browse/LANG-822,Y,,,?'s: Is (3) a value that can be used to cause the bug? Does this include test cases?
Lang,8,LANG-818,https://issues.apache.org/jira/browse/LANG-818,Y,,,(5) users also seem to submit regression tests
Lang,9,LANG-832,https://issues.apache.org/jira/browse/LANG-832,Y,,,(R: difficult to create case w/o prior knowledge)
Lang,10,LANG-831,https://issues.apache.org/jira/browse/LANG-831,Y,,,(R: similar to 832)
Lang,11,LANG-807,https://issues.apache.org/jira/browse/LANG-807,Y,,,
Lang,12,LANG-805,https://issues.apache.org/jira/browse/LANG-805,Y,,,
Lang,13,LANG-788,https://issues.apache.org/jira/browse/LANG-788,Y,,,
Lang,14,LANG-786,https://issues.apache.org/jira/browse/LANG-786,N,,,
Lang,15,LANG-775,https://issues.apache.org/jira/browse/LANG-775,R (seems like a request to add to a test file and not a bug?),,,
Lang,16,LANG-746,https://issues.apache.org/jira/browse/LANG-746,Y,,,
Lang,17,LANG-720,https://issues.apache.org/jira/browse/LANG-720,Y,,,
Lang,18,LANG-719,https://issues.apache.org/jira/browse/LANG-719,Y,,,
Lang,19,LANG-710,https://issues.apache.org/jira/browse/LANG-710,Y,,,
Lang,20,LANG-703,https://issues.apache.org/jira/browse/LANG-703,Y,,,
Lang,21,LANG-677,https://issues.apache.org/jira/browse/LANG-677,R (user test doesn't reproduce although root cause is identified),,,User suggested root cause and fix in comments.
Lang,22,LANG-662,https://issues.apache.org/jira/browse/LANG-662,Y,,,User provides two test cases on mathy stuff. Developer looks at Math implementation to make fix. 
Lang,23,LANG-636,https://issues.apache.org/jira/browse/LANG-636,Y,,,Fix is to override equals() with new code.
Lang,24,LANG-664,https://issues.apache.org/jira/browse/LANG-664,Y,,,User suggests fix
Lang,25,LANG-658,https://issues.apache.org/jira/browse/LANG-658,,,,
Lang,26,LANG-645,https://issues.apache.org/jira/browse/LANG-645,,,,
Lang,27,LANG-638,https://issues.apache.org/jira/browse/LANG-638,,,,
Lang,28,LANG-617,https://issues.apache.org/jira/browse/LANG-617,,,,
Lang,29,LANG-624,https://issues.apache.org/jira/browse/LANG-624,,,,
Lang,30,LANG-607,https://issues.apache.org/jira/browse/LANG-607,,,,
Lang,31,LANG-607,https://issues.apache.org/jira/browse/LANG-607,,,,
Lang,32,LANG-586,https://issues.apache.org/jira/browse/LANG-586,,,,
Lang,33,LANG-587,https://issues.apache.org/jira/browse/LANG-587,Y,,,report of NPE when array contains null.
Lang,34,LANG-586,https://issues.apache.org/jira/browse/LANG-586,N,,,Memory leak related to opened thread. No idea how to test no test case given.
Lang,35,LANG-571,https://issues.apache.org/jira/browse/LANG-571,Y,,, Specification request: User asked to change behavior from ClassCastException to IllegalArgumentException.
Lang,36,LANG-521,https://issues.apache.org/jira/browse/LANG-521,Y,,,Specification request: User asking for changes in what belongs in isNumber(). Provides code for fix.
Lang,37,LANG-567,https://issues.apache.org/jira/browse/LANG-567,Y,,,Specification request: requesting different exception type be thrown. User provides code.
Lang,38,LANG-538,https://issues.apache.org/jira/browse/LANG-538,Y,,,User provides test case.
Lang,39,LANG-552,https://issues.apache.org/jira/browse/LANG-552,N,,,Specification request: User is suggesting api to be null friendly provided test case doesn't pass after fix.
Lang,40,LANG-432,https://issues.apache.org/jira/browse/LANG-432,,,,
Lang,41,LANG-535,https://issues.apache.org/jira/browse/LANG-535,,,,
Lang,42,LANG-480,https://issues.apache.org/jira/browse/LANG-480,,,,
Lang,43,LANG-477,https://issues.apache.org/jira/browse/LANG-477,,,,
Lang,44,LANG-457,https://issues.apache.org/jira/browse/LANG-457,,,,
Lang,45,LANG-419,https://issues.apache.org/jira/browse/LANG-419,,,,
Lang,46,LANG-421,https://issues.apache.org/jira/browse/LANG-421,,,,
Lang,47,LANG-412,https://issues.apache.org/jira/browse/LANG-412,,,,
Lang,48,LANG-393,https://issues.apache.org/jira/browse/LANG-393,,,,
Lang,49,LANG-380,https://issues.apache.org/jira/browse/LANG-380,,,,
Lang,50,LANG-368,https://issues.apache.org/jira/browse/LANG-368,,,,
Lang,51,LANG-365,https://issues.apache.org/jira/browse/LANG-365,,,,
Lang,52,LANG-363,https://issues.apache.org/jira/browse/LANG-363,,,,
Lang,53,LANG-346,https://issues.apache.org/jira/browse/LANG-346,,,,
Lang,54,LANG-328,https://issues.apache.org/jira/browse/LANG-328,,,,
Lang,55,LANG-315,https://issues.apache.org/jira/browse/LANG-315,,,,
Lang,56,LANG-303,https://issues.apache.org/jira/browse/LANG-303,,,,
Lang,57,LANG-304,https://issues.apache.org/jira/browse/LANG-304,,,,
Lang,58,LANG-300,https://issues.apache.org/jira/browse/LANG-300,,,,
Lang,59,LANG-299,https://issues.apache.org/jira/browse/LANG-299,,,,
Lang,60,LANG-295,https://issues.apache.org/jira/browse/LANG-295,,,,
Lang,61,LANG-294,https://issues.apache.org/jira/browse/LANG-294,,"2,5","Stack trace with test (patch file) that causes error, actual location is found later in thread with code and value that causes it",
Lang,62,LANG-292,https://issues.apache.org/jira/browse/LANG-292,,"4,5,3",User submitted test (patch file) that fails with expected results and value that causes incorrect result,
Lang,63,LANG-281,https://issues.apache.org/jira/browse/LANG-281,,"4,5,3",User submitted value and code that causes bug w/ test (patch file),
Lang,64,LANG-259,https://issues.apache.org/jira/browse/LANG-259,,4,User submitted code (in thread) to replicate bug (compareTo not typesafe),
Lang,65,LANG-59,https://issues.apache.org/jira/browse/LANG-59,,"4,5,3",User submitted code that has a bug dealing with DST switching with test (patch txt file) along with input to cause bug,
Math,1,MATH-996,https://issues.apache.org/jira/browse/MATH-996,Y,"4,5,3",(knowledgable) user submitted code and test case (patch file with test) along with input and functions to cause exception,
Math,2,MATH-1021,https://issues.apache.org/jira/browse/MATH-1021,Y,4,"Not sure what the issue is, user uploaded zip of java files and test files",
Math,3,MATH-1005,https://issues.apache.org/jira/browse/MATH-1005,Y,"4,3",User reported bug with notes on bugs found when using the class. Gives sample values and results (with expected result) as well as code snippet,
Math,4,MATH-988,https://issues.apache.org/jira/browse/MATH-988,,"4,5","User reported bug with function calls that cause exception, includes patch fix and test cases",
Math,5,MATH-934,https://issues.apache.org/jira/browse/MATH-934,Y,4,User reports function that returns incorrect result and lists expectation. Includes class and method,
Math,6,MATH-949,https://issues.apache.org/jira/browse/MATH-949,Y,"4,5","User reports a function that returns the incorrect number of iterations, includes test case code snippet",
Math,7,MATH-950,https://issues.apache.org/jira/browse/MATH-950,Y,5,Developer posts paragraph description of bug with patch file test case,
Math,8,MATH-942,https://issues.apache.org/jira/browse/MATH-942,Y,4,User reports function and values that throw an exception,
Math,9,MATH-938,https://issues.apache.org/jira/browse/MATH-938,Y,"4,5","User reports function with bug, includes test case code snippet in thread",
Math,10,MATH-935,https://issues.apache.org/jira/browse/MATH-935,,"4,3","User reports function with bug, includes the values that cause the wrong results",
Math,11,MATH-929,https://issues.apache.org/jira/browse/MATH-929,Y,"4,5",User reports bug with test case that reproduces bug (incorrect value),
Math,12,MATH-927,,,,,
Math,13,MATH-924,,,,,
Math,14,MATH-924,,,,,
Math,15,MATH-904,,,,,
Math,16,MATH-905,,,,,
Math,17,MATH-778,,,,,
Math,18,MATH-867,,,,,
Math,19,MATH-865,,,,,
Math,20,MATH-864,,,,,
Math,21,MATH-789,,,,,
Math,22,MATH-859,,,,,
Math,23,MATH-855,,,,,
Math,24,MATH-855,,,,,
Math,25,MATH-844,,,,,
Math,26,MATH-836,,,,,
Math,27,MATH-835,,,,,
Math,28,MATH-828,,,,,
Math,29,MATH-803,,,,,
Math,30,MATH-790,https://issues.apache.org/jira/browse/MATH-790,Y,,,
Math,31,MATH-718,https://issues.apache.org/jira/browse/MATH-718,Y,,,
Math,32,MATH-780,,,,,
Math,33,MATH-781,,,,,
Math,34,MATH-779,,,,,
Math,35,MATH-776,,,,,
Math,36,MATH-744,,,,,
Math,37,MATH-722,,,,,
Math,38,MATH-728,,,,,
Math,39,MATH-727,,,,,
Math,40,MATH-716,,,,,
Math,41,MATH-704,,,,,
Math,42,MATH-713,,,,,
Math,43,MATH-691,https://issues.apache.org/jira/browse/MATH-691,Y,,,
Math,44,MATH-695,,,,,
Math,45,MATH-679,https://issues.apache.org/jira/browse/MATH-679,Y,,,
Math,46,MATH-657,,,,,
Math,47,MATH-657,,,,,
Math,48,MATH-631,,,,,
Math,49,MATH-645,,,,,
Math,50,MATH-631,,,,,
Math,51,MATH-631,,,,,
Math,52,MATH-639,,,,,
Math,53,MATH-618,https://issues.apache.org/jira/browse/MATH-618,N,,,
Math,54,MATH-567,,,,,
Math,55,MATH-554,,,,,
Math,56,MATH-552,,,,,
Math,57,MATH-546,,,,,
Math,58,MATH-519,,,,,
Math,59,MATH-482,,,,,
Math,60,MATH-414,https://issues.apache.org/jira/browse/MATH-414,Y,,,
Math,61,MATH-349,,,,,
Math,62,MATH-413,,,,,
Math,63,MATH-370,,,,,
Math,64,MATH-405,,,,,
Math,65,MATH-377,,,,,
Math,66,MATH-395,,,,,
Math,67,MATH-393,,,,,
Math,68,MATH-362,,,,,
Math,69,MATH-371,,,,,
Math,70,MATH-369,,,,,
Math,71,MATH-358,,,,,
Math,72,MATH-344,,,,,
Math,73,MATH-343,,,,,
Math,74,MATH-338,,,,,
Math,75,MATH-329,,,,,
Math,76,MATH-320,,,,,
Math,77,MATH-326,,,,,
Math,78,MATH-322,,,,,
Math,79,MATH-305,https://issues.apache.org/jira/browse/MATH-305,Y,,,
Math,80,MATH-318,,,,,
Math,81,MATH-308,,,,,
Math,82,MATH-288,,,,,
Math,83,MATH-286,,,,,
Math,84,MATH-283,,,,,
Math,85,MATH-280,,,,,
Math,86,MATH-274,,,,,
Math,87,MATH-273,,,,,
Math,88,MATH-272,https://issues.apache.org/jira/browse/MATH-272,Y,,,
Math,89,MATH-259b,https://issues.apache.org/jira/browse/MATH-259,N,,,
Math,90,MATH-259a,https://issues.apache.org/jira/browse/MATH-259,Y,,,
Math,91,MATH-252,,,,,
Math,92,MATH-241,,,,,
Math,93,MATH-240,,,,,
Math,94,MATH-238,,,,,
Math,95,MATH-227,,,,,
Math,96,MATH-221,,,,,
Math,97,MATH-204,,,,,
Math,98,MATH-209,,,,,
Math,99,MATH-243,,,,,
Math,100,MATH-200,,,,,
Math,101,MATH-198,https://issues.apache.org/jira/browse/MATH-198,Y,,,
Math,102,MATH-175,https://issues.apache.org/jira/browse/MATH-175,Y,,,
Math,103,MATH-167,,,,,
Math,104,MATH-166,,,,,
Math,105,MATH-85,https://issues.apache.org/jira/browse/MATH-85,Y,,,
Math,106,MATH-60,https://issues.apache.org/jira/browse/MATH-60,Y,,,
Time,1,TIME-93b,https://github.com/JodaOrg/joda-time/issues/93,Y,"3,4",,
Time,2,TIME-93a,https://github.com/JodaOrg/joda-time/issues/93,N,,All tests fail in fixed version,
Time,3,TIME-77,https://github.com/JodaOrg/joda-time/issues/77,Y,"3,4",,
Time,4,TIME-88,https://github.com/JodaOrg/joda-time/issues/88,Y,"3,4",,
Time,5,TIME-79,https://github.com/JodaOrg/joda-time/issues/79,N,"1,2,3,4","User provided a test, but I could not reproduce it.",
Time,6,TIME-28,https://github.com/JodaOrg/joda-time/issues/28,Y,"3,4",,
Time,7,TIME-21,https://github.com/JodaOrg/joda-time/issues/21,Y,"3,4",,
Time,8,TIME-42,https://github.com/JodaOrg/joda-time/issues/42,Y,"1,4",User submitted a general description but no test case,
Time,9,TIME-43,https://github.com/JodaOrg/joda-time/issues/43,Y,1,Developer submitted a general description but no test case,
Time,10,TIME-22,https://github.com/JodaOrg/joda-time/issues/22,N,"2,3,4","User provided a test, but I could not reproduce it.",
Time,11,TIME-18,https://github.com/JodaOrg/joda-time/issues/18,N,"3,4","User provided a test, but I could not reproduce it.",
Time,12,TIME-8,https://github.com/JodaOrg/joda-time/issues/8,N,,"No description, but a pull request (containing no test case) links to the issue",
Time,13,TIME-160,https://sourceforge.net/p/joda-time/bugs/160,Y,"3,4",,
Time,14,TIME-151,https://sourceforge.net/p/joda-time/bugs/151,Y,"2,3,4",,
Time,15,TIME-147,https://sourceforge.net/p/joda-time/bugs/147,Y,"3,4",,
Time,16,TIME-148,https://sourceforge.net/p/joda-time/bugs/148,Y,"3,4",,
Time,17,TIME-141,https://sourceforge.net/p/joda-time/bugs/141,Y,"3,4","Developer replied that he could not reproduce (but I could reproduce), and that he rewrote the code",
Time,18,TIME-130,https://sourceforge.net/p/joda-time/bugs/130,Y,"3,4",,
Time,19,TIME-124,https://sourceforge.net/p/joda-time/bugs/124,Y,"3,4",,
Time,20,TIME-126,https://sourceforge.net/p/joda-time/bugs/126,Y,"3,4",,
Time,21,TIME-122,https://sourceforge.net/p/joda-time/bugs/122,Y,"3,4",,
Time,22,TIME-113,https://sourceforge.net/p/joda-time/bugs/113,Y,"3,4",,
Time,23,TIME-112,https://sourceforge.net/p/joda-time/bugs/112,Y,1,,
Time,24,TIME-107,https://sourceforge.net/p/joda-time/bugs/107,Y,"3,4",,
Time,25,TIME-90,https://sourceforge.net/p/joda-time/bugs/90,N,"3,4",I cannot reproduce; get same behavior for the user test case before and after the fix.,
Time,26,TIME-60,https://sourceforge.net/p/joda-time/bugs/60,N,,Developer stated that fix doesn't pass this test case,
Time,27,TIME-64,https://sourceforge.net/p/joda-time/bugs/64,Y,"3,4",,
,,,,,,,
Closure,1,CLOSURE-253,https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-253.json,Y,"3,4",,
Closure,2,CLOSURE-884,https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-884.json,Y,"3,4",,
Closure,3,CLOSURE-864,https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-864.json,Y,"3,4",,
Closure,4,CLOSURE-873,https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-873.json,R (cli not throwing warnings or errors when it should),"3,4",,
Closure,5,CLOSURE-851,https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-851.json,Y,"3,4",,
Closure,6,CLOSURE-635,,,,,
Closure,7,CLOSURE-841,,,,,
Closure,8,CLOSURE-820,,,,,
Closure,9,CLOSURE-824,,,,,
Closure,10,CLOSURE-821,,,,,
Closure,11,CLOSURE-810,,,,,
Closure,12,CLOSURE-794,,,,,
Closure,13,CLOSURE-787,,,,,
Closure,14,779,,,,,
Closure,15,CLOSURE-773,https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-773.json,Y,"3,4",,
Closure,16,772,,,,,
Closure,17,688,,,,,
Closure,18,768,,,,,
Closure,19,CLOSURE-769,https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-769.json,R (cli not throwing warnings or errors when it should),"3,4",,
Closure,20,759,,,,,
Closure,21,753,,,,,
Closure,22,753,,,,,
Closure,23,CLOSURE-747,https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-747.json,Y,"3,4",,
Closure,24,737,,,,,
Closure,25,729,,,,,
Closure,26,732,,,,,
Closure,27,727,,,,,
Closure,28,728,,,,,
Closure,29,724,,,,,
Closure,30,698,,,,,
Closure,31,703,,,,,
Closure,32,701,,,,,
Closure,33,CLOSURE-700,https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-700.json,R (cli not throwing warnings or errors when it should),"3,4",,
Closure,34,691,,,,,
Closure,35,669,,,,,
Closure,36,668,,,,,
Closure,37,663,,,,,
Closure,38,657,,,,,
Closure,39,643,,,,,
Closure,40,284,,,,,
Closure,41,368,,,,,
Closure,42,644,,,,,
Closure,43,314,,,,,
Closure,44,CLOSURE-620,https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-620.json,Y,"3,4",,
Closure,45,CLOSURE-618,https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-618.json,Y,"3,4",,
Closure,46,603,,,,,
Closure,47,575,,,,,
Closure,48,586,,,,,
Closure,49,539,,,,,
Closure,50,558,,,,,
Closure,51,582,,,,,
Closure,52,569,,,,,
Closure,53,545,,,,,
Closure,54,537,,,,,
Closure,55,538,,,,,
Closure,56,511,,,,,
Closure,57,530,,,,,
Closure,58,528,,,,,
Closure,59,521,,,,,
Closure,60,504,,,,,
Closure,61,501,,,,,
Closure,62,487,,,,,
Closure,63,487,,,,,
Closure,64,489,,,,,
Closure,65,486,,,,,
Closure,66,482,,,,,
Closure,67,459,,,,,
Closure,68,477,,,,,
Closure,69,440,,,,,
Closure,70,433,,,,,
Closure,71,254,,,,,
Closure,72,435,,,,,
Closure,73,416,,,,,
Closure,74,413,,,,,
Closure,75,395,,,,,
Closure,76,384,,,,,
Closure,77,383,,,,,
Closure,78,381,,,,,
Closure,79,367,,,,,
Closure,80,364,,,,,
Closure,81,251,,,,,
Closure,82,301,,,,,
Closure,83,319,,,,,
Closure,84,215,,,,,
Closure,85,CLOSURE-311,https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-311.json,Y,"3,4",,
Closure,86,CLOSURE-303,https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-303.json,Y,"3,4",,
Closure,87,291,,,,,
Closure,88,CLOSURE-297,https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-297.json,Y,"3,4",,
Closure,89,CLOSURE-289,https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-289.json,Y,"3,4",,
Closure,90,274,,,,,
Closure,91,248,,,,,
Closure,92,261,,,,,
Closure,93,261,,,,,
Closure,94,255,,,,,
Closure,95,66,,,,,
Closure,96,CLOSURE-229,https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-229.json,R (cli not throwing warnings or errors when it should),"3,4",,
Closure,97,CLOSURE-200,https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-200.json,Y,"3,4",,
Closure,98,CLOSURE-174,https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-174.json,Y,"3,4",,
Closure,99,125,,,,,
Closure,100,144,,,,,
Closure,101,CLOSURE-130,,,,,
Closure,102,115,,,,,
Closure,103,CLOSURE-113,https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-113.json,Y,"3,4",,
Closure,104,114,,,,,
Closure,105,106,,,,,
Closure,106,CLOSURE-19,https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-19.json,R (cli not throwing warnings or errors when it should),"3,4",,
Closure,107,CLOSURE-1135,,,,,
Closure,108,CLOSURE-1144,https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-1144.json,Y,"3,4",,
Closure,109,CLOSURE-1105,,,,,
Closure,110,CLOSURE-1111,https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-1111.json,Y,"3,4",,
Closure,111,CLOSURE-1114,,,,,
Closure,112,1058,,,,,
Closure,113,1079,,,,,
Closure,114,1085,,,,,
Closure,115,1101,,,,,
Closure,116,1101,,,,,
Closure,117,1047,,,,,
Closure,118,1024,,,,,
Closure,119,1070,,,,,
Closure,120,1053,,,,,
Closure,121,1053,,,,,
Closure,122,1037,,,,,
Closure,123,CLOSURE-1033,https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-1033.json,Y,"3,4",,
Closure,124,1017,,,,,
Closure,125,1002,,,,,
Closure,126,936,,,,,
Closure,127,936,,,,,
Closure,128,CLOSURE-942,https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-942.json,Y,"3,4",,
Closure,129,937,,,,,
Closure,130,931,,,,,
Closure,131,CLOSURE-921,,,,,
Closure,132,CLOSURE-925,https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-925.json,Y,"3,4",,
Closure,133,CLOSURE-919,https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-919.json,R (cli not throwing warnings or errors when it should),"3,4",,
Mockito,1,MOCKITO-188,https://github.com/mockito/mockito/issues/188,N,,,
Mockito,2,MOCKITO-197,https://github.com/mockito/mockito/issues/197,Y,,,
Mockito,3,MOCKITO-188,https://github.com/mockito/mockito/issues/188,,,,
Mockito,4,MOCKITO-187,https://github.com/mockito/mockito/issues/187,Y,,,
Mockito,5,MOCKITO-152,https://github.com/mockito/mockito/issues/152,N,,,
Mockito,6,MOCKITO-134,https://github.com/mockito/mockito/issues/134,Y,,,
Mockito,7,MOCKITO-128,https://github.com/mockito/mockito/issues/128,Y,,,
Mockito,8,MOCKITO-114,https://github.com/mockito/mockito/issues/114,Y,,,
Mockito,9,MOCKITO-122,https://github.com/mockito/mockito/issues/122,Y,,,
Mockito,10,MOCKITO-99,https://github.com/mockito/mockito/issues/99,Y,,,
Mockito,11,MOCKITO-87,https://github.com/mockito/mockito/pull/87,Y,,,
Mockito,12,MOCKITO-188,https://code.google.com/archive/p/mockito/issues/188,N,,,
Mockito,13,MOCKITO-138,https://code.google.com/archive/p/mockito/issues/138,,,,
Mockito,14,MOCKITO-138,https://code.google.com/archive/p/mockito/issues/138,,,,
Mockito,15,MOCKITO-211,https://code.google.com/archive/p/mockito/issues/211,,,,
Mockito,16,MOCKITO-151,https://code.google.com/archive/p/mockito/issues/151,Y,,,
Mockito,17,MOCKITO-152,https://code.google.com/archive/p/mockito/issues/152,,,,
Mockito,18,MOCKITO-210,https://github.com/mockito/mockito/issues/210,Y,,,
Mockito,19,MOCKITO-205,https://github.com/mockito/mockito/issues/205,Y,,,
Mockito,20,MOCKITO-92,https://github.com/mockito/mockito/issues/92,,,,
Mockito,21,MOCKITO-92,https://github.com/mockito/mockito/issues/92,,,,
Mockito,22,MOCKITO-484,https://code.google.com/archive/p/mockito/issues/484,Y,,,
Mockito,23,MOCKITO-399,https://code.google.com/archive/p/mockito/issues/399,N,,,
Mockito,24,MOCKITO-467,https://code.google.com/archive/p/mockito/issues/467,Y,,,
Mockito,25,MOCKITO-230,https://code.google.com/archive/p/mockito/issues/230,Y,,,
Mockito,26,MOCKITO-352,https://code.google.com/archive/p/mockito/issues/352,N,,,
Mockito,27,MOCKITO-282,https://code.google.com/archive/p/mockito/issues/282,Y,,,
Mockito,28,MOCKITO-236,https://code.google.com/archive/p/mockito/issues/236,Y,,,
Mockito,29,MOCKITO-229,https://code.google.com/archive/p/mockito/issues/229,N,,,
Mockito,30,MOCKITO-225,https://code.google.com/archive/p/mockito/issues/225,,,,
Mockito,31,MOCKITO-225,https://code.google.com/archive/p/mockito/issues/225,,,,
Mockito,32,MOCKITO-216,https://code.google.com/archive/p/mockito/issues/216,Y,,,
Mockito,33,MOCKITO-200,https://code.google.com/archive/p/mockito/issues/200,Y,,,
Mockito,34,MOCKITO-157,https://code.google.com/archive/p/mockito/issues/157,Y,,,
Mockito,35,MOCKITO-98,https://code.google.com/archive/p/mockito/issues/98,Y,,,
Mockito,36,MOCKITO-140,https://code.google.com/archive/p/mockito/issues/140,N,,,
Mockito,37,MOCKITO-140,https://code.google.com/archive/p/mockito/issues/140,,,,
Mockito,38,MOCKITO-79,https://code.google.com/archive/p/mockito/issues/79,,,,